state,zipcode,county,tax_rate
Kentucky,40419,Lewis County,0.671
Kentucky,42028,Lincoln County,0.756
Kentucky,42202,Livingston County,0.62
Kentucky,42038,Logan County,0.69
Kentucky,40385,Lyon County,0.634
Kentucky,41426,Madison County,0.781
Kentucky,40009,Magoffin County,0.682
Kentucky,42025,Marion County,0.752
Kentucky,41203,Marshall County,0.749
Kentucky,41034,Martin County,0.712
Kentucky,42001,Mason County,0.637
Kentucky,42631,McCracken County,0.726
Kentucky,42327,McCreary County,0.683
Kentucky,40104,McLean County,0.689
Kentucky,40316,Meade County,0.717
Kentucky,40310,Menifee County,0.54
Kentucky,42129,Mercer County,0.819
Kentucky,42133,Metcalfe County,0.729
Kentucky,40337,Monroe County,0.723
Kentucky,41332,Montgomery County,0.771
Kentucky,42321,Wolfe County,0.574
Kentucky,40004,Muhlenberg County,0.678
Kentucky,40311,Nelson County,0.831
Kentucky,42320,Nicholas County,0.629
Kentucky,40010,Ohio County,0.571
Kentucky,40355,Oldham County,0.923
Kentucky,41314,Owen County,0.738
Kentucky,41006,Owsley County,0.762
Kentucky,41367,Pendleton County,0.807
Kentucky,41501,Perry County,0.718
Kentucky,40312,Pike County,0.783
Kentucky,42501,Powell County,0.664
Kentucky,41064,Pulaski County,0.673
Kentucky,40409,Robertson County,0.569
Kentucky,40313,Rockcastle County,0.544
Kentucky,42629,Rowan County,0.565
Kentucky,40324,Russell County,0.633
Kentucky,40003,Scott County,0.695
Kentucky,42134,Shelby County,0.824
Kentucky,40046,Simpson County,0.672
Kentucky,42718,Spencer County,0.741
Kentucky,42204,Taylor County,0.709
Kentucky,42211,Todd County,0.633
Kentucky,40006,Trigg County,0.585
Kentucky,42437,Trimble County,0.762
Kentucky,42101,Union County,0.817
Kentucky,40040,Warren County,0.653
Kentucky,42603,Washington County,0.728
Kentucky,42403,Clinton County,0.581
Kentucky,40701,Clinton County,0.581
Kentucky,41301,Whitley County,0.722
Kentucky,40347,Wolfe County,0.574
Louisiana,70516,Woodford County,0.734
Louisiana,70637,Acadia County,0.286
Louisiana,70346,Beauregard County,0.34
Louisiana,70339,Ascension County,0.556
Louisiana,71320,Assumption County,0.432
Louisiana,70634,Avoyelles County,0.0
Louisiana,71001,Beauregard County,0.34
Louisiana,71006,Bienville County,0.274
Louisiana,71004,Bossier County,0.675
Louisiana,70601,Caddo County,0.659
Louisiana,71415,Calcasieu County,0.45
Louisiana,70631,Caldwell County,0.347
Louisiana,71340,Cameron County,0.499
Louisiana,71003,Catahoula County,0.288
Louisiana,71316,Claiborne County,0.394
Louisiana,71027,Concordia County,0.399
Louisiana,70714,De Soto County,0.283
Louisiana,71254,East Baton Rouge County,0.64
Louisiana,70722,East Carroll County,0.0
Louisiana,70515,East Feliciana County,0.137
Louisiana,71219,Evangeline County,0.277
Louisiana,71407,Franklin County,0.341
Louisiana,70513,Grant County,0.732
Louisiana,70721,Iberia County,0.351
Louisiana,71226,Iberville County,0.357
Louisiana,70532,Jackson County,0.356
Louisiana,70001,Jefferson Davis County,0.298
Louisiana,71342,Jefferson County,0.506
Louisiana,70501,La Salle County,0.738
Louisiana,70301,Lafayette County,0.56
Louisiana,71227,Lafourche County,0.482
Louisiana,70449,Lincoln County,0.475
Louisiana,71282,Livingston County,0.487
Louisiana,71220,Madison County,0.251
Louisiana,71002,Morehouse County,0.381
Louisiana,70112,Natchitoches County,0.44
Louisiana,71201,Orleans County,0.791
Louisiana,70037,Ouachita County,0.508
Louisiana,70715,Plaquemines County,0.483
Louisiana,71301,Pointe Coupee County,0.328
Louisiana,71019,Rapides County,0.548
Louisiana,71218,Red River County,0.474
Louisiana,71065,Richland County,0.303
Louisiana,70032,Sabine County,0.448
Louisiana,70030,Saint Bernard County,0.504
Louisiana,70441,Saint Charles County,0.581
Louisiana,70052,Saint Helena County,0.429
Louisiana,70049,Saint James County,0.524
Louisiana,70512,St John the Baptist County,0.458
Louisiana,70517,Saint Landry County,0.3
Louisiana,70342,Saint Martin County,0.442
Louisiana,70420,Saint Mary County,0.393
Louisiana,70401,Saint Tammany County,0.745
Louisiana,71357,Tangipahoa County,0.427
Louisiana,70343,Tensas County,0.331
Louisiana,71222,Terrebonne County,0.467
Louisiana,70510,Union County,0.349
Louisiana,70639,Vermilion County,0.351
Louisiana,70426,Vernon County,0.617
Louisiana,71018,Washington County,0.351
Louisiana,70710,Webster County,0.375
Louisiana,71237,West Baton Rouge County,0.551
Louisiana,70712,West Carroll County,0.0
Louisiana,71404,West Feliciana County,0.54
Maine,04210,Winn County,0.319
Maine,04471,Androscoggin County,1.35
Maine,04003,Aroostook County,1.246
Maine,04239,Cumberland County,1.172
Maine,04408,Franklin County,1.142
Maine,04259,Hancock County,0.949
Maine,04547,Kennebec County,1.232
Maine,04342,Knox County,1.309
Maine,04010,Lincoln County,1.009
Maine,04401,Oxford County,1.192
Maine,04406,Penobscot County,1.324
Maine,04008,Piscataquis County,1.037
Maine,04478,Sagadahoc County,1.198
Maine,04354,Somerset County,1.22
Maine,04413,Waldo County,1.187
Maine,03901,Washington County,1.196
Maryland,21502,York County,1.105
Maryland,20711,Allegany County,1.124
Maryland,21013,Anne Arundel County,0.861
Maryland,21201,Baltimore County,1.146
Maryland,20615,Baltimore City County,1.511
Maryland,21629,Calvert County,0.896
Maryland,21048,Caroline County,0.973
Maryland,21901,Carroll County,0.961
Maryland,20601,Cecil County,1.02
Maryland,21613,Charles County,1.063
Maryland,208HH,Dorchester County,1.001
Maryland,21520,Dorchester County,1.001
Maryland,21001,Garrett County,0.824
Maryland,20701,Harford County,0.964
Maryland,21610,Howard County,1.206
Maryland,20812,Kent County,0.986
Maryland,20607,Montgomery County,0.874
Maryland,21607,Prince Georges County,1.185
Maryland,21817,Queen Annes County,0.829
Maryland,20606,Somerset County,1.048
Maryland,21601,Saint Marys County,0.89
Maryland,21711,Talbot County,0.665
Maryland,21801,Washington County,0.917
Maryland,21811,Wicomico County,0.896
Massachusetts,02532,Worcester County,0.8
Massachusetts,01029,Barnstable County,0.757
Massachusetts,02356,Berkshire County,1.399
Massachusetts,02535,Bristol County,1.173
Massachusetts,01810,Dukes County,0.498
Massachusetts,01054,Essex County,1.139
Massachusetts,01001,Franklin County,1.572
Massachusetts,01002,Hampden County,1.617
Massachusetts,02138,Hampshire County,1.45
Massachusetts,02554,Middlesex County,1.075
Massachusetts,02056,Nantucket County,0.281
Massachusetts,02061,Norfolk County,1.117
Massachusetts,02108,Plymouth County,1.295
Massachusetts,01005,Suffolk County,0.667
Michigan,48705,Worcester County,1.355
Michigan,49806,Alcona County,0.855
Michigan,49010,Alger County,1.004
Michigan,49707,Allegan County,1.188
Michigan,49611,Alpena County,1.15
Michigan,48658,Antrim County,1.0
Michigan,49908,Arenac County,1.314
Michigan,48897,Baraga County,1.41
Michigan,48611,Barry County,1.17
Michigan,49616,Bay County,1.673
Michigan,49022,Benzie County,0.843
Michigan,49028,Berrien County,1.152
Michigan,49011,Branch County,1.249
Michigan,49031,Calhoun County,1.601
Michigan,49712,Cass County,1.034
Michigan,49701,Charlevoix County,1.023
Michigan,49710,Cheboygan County,0.94
Michigan,48617,Chippewa County,1.333
Michigan,48808,Clare County,1.196
Michigan,49733,Clinton County,1.295
Michigan,49807,Crawford County,1.108
Michigan,49801,Delta County,1.197
Michigan,48813,Dickinson County,1.476
Michigan,49706,Eaton County,1.476
Michigan,48420,Emmet County,0.97
Michigan,48612,Genesee County,1.466
Michigan,49911,Gladwin County,1.23
Michigan,49637,Gogebic County,1.662
Michigan,48615,Grand Traverse County,1.034
Michigan,49227,Gratiot County,1.327
Michigan,49905,Hillsdale County,1.02
Michigan,48413,Houghton County,1.291
Michigan,48819,Huron County,1.276
Michigan,48809,Ingham County,1.927
Michigan,48730,Ionia County,1.226
Michigan,49902,Iosco County,1.052
Michigan,48858,Iron County,1.506
Michigan,49201,Isabella County,1.315
Michigan,49001,Jackson County,1.337
Michigan,49633,Kalamazoo County,1.519
Michigan,49301,Kalkaska County,0.973
Michigan,49805,Kent County,1.193
Michigan,49304,Keweenaw County,0.987
Michigan,48003,Lake County,1.171
Michigan,49621,Lapeer County,0.966
Michigan,49220,Leelanau County,0.71
Michigan,48114,Lenawee County,1.394
Michigan,49853,Livingston County,1.015
Michigan,49719,Luce County,1.002
Michigan,48005,Mackinac County,1.064
Michigan,49613,Macomb County,1.474
Michigan,49808,Manistee County,1.161
Michigan,49402,Marquette County,1.073
Michigan,49305,Mason County,1.141
Michigan,49812,Mecosta County,1.052
Michigan,48618,Menominee County,1.083
Michigan,49632,Midland County,1.595
Michigan,48117,Missaukee County,0.975
Michigan,48811,Monroe County,1.181
Michigan,49709,Montcalm County,1.129
Michigan,49303,Montmorency County,1.04
Michigan,49309,Muskegon County,1.358
Michigan,48009,Newaygo County,1.198
Michigan,49420,Oakland County,1.362
Michigan,48610,Oceana County,1.218
Michigan,49910,Arenac County,1.314
Michigan,49631,Ontonagon County,1.313
Michigan,48619,Osceola County,1.12
Michigan,49735,Oscoda County,0.962
Michigan,49401,Otsego County,0.949
Michigan,49743,Ottawa County,1.091
Michigan,48627,Presque Isle County,1.107
Michigan,48415,Roscommon County,1.096
Michigan,48401,Saginaw County,1.542
Michigan,49817,Sanilac County,0.97
Michigan,48414,Schoolcraft County,1.008
Michigan,48001,Shiawassee County,1.359
Michigan,49030,Saint Clair County,1.217
Michigan,48435,Saint Joseph County,1.151
Michigan,49013,Tuscola County,1.312
Michigan,48103,Van Buren County,1.381
Michigan,48101,Washtenaw County,1.563
Michigan,49601,Wayne County,1.728
Minnesota,55748,Wexford County,1.224
Minnesota,55005,Aitkin County,0.58
Minnesota,56501,Anoka County,0.972
Minnesota,56630,Becker County,0.742
Minnesota,56329,Beltrami County,1.026
Minnesota,56211,Benton County,1.067
Minnesota,56001,Big Stone County,0.875
Minnesota,56019,Blue Earth County,0.989
Minnesota,55707,Brown County,1.084
Minnesota,55315,Carlton County,1.19
Minnesota,56626,Carver County,1.041
Minnesota,56222,Cass County,0.599
Minnesota,55012,Chippewa County,1.01
Minnesota,56513,Chisago County,1.161
Minnesota,56634,Chisago County,1.161
Minnesota,55604,Clearwater County,0.784
Minnesota,56101,Cook County,0.814
Minnesota,56401,Cottonwood County,1.12
Minnesota,55010,Crow Wing County,0.783
Minnesota,55924,Dakota County,1.008
Minnesota,56308,Dodge County,1.101
Minnesota,56013,Douglas County,0.857
Minnesota,55922,Faribault County,1.018
Minnesota,56007,Fillmore County,0.924
Minnesota,55009,Freeborn County,1.066
Minnesota,56248,Goodhue County,1.072
Minnesota,55305,Grant County,0.985
Minnesota,55919,Hennepin County,1.157
Minnesota,56433,Houston County,1.149
Minnesota,55006,Hubbard County,0.799
Minnesota,56628,Isanti County,1.069
Minnesota,56111,Itasca County,0.852
Minnesota,55007,Jackson County,0.917
Minnesota,56201,Pine County,0.907
Minnesota,56720,Kandiyohi County,0.988
Minnesota,56627,Kittson County,0.948
Minnesota,56212,Koochiching County,0.759
Minnesota,55601,Lac Qui Parle County,0.975
Minnesota,56623,Lake County,0.791
Minnesota,56017,Lake of the Woods County,0.685
Minnesota,56113,Le Sueur County,1.058
Minnesota,56115,Lincoln County,1.026
Minnesota,56651,Lyon County,1.017
Minnesota,56710,Mahnomen County,1.05
Minnesota,56031,Marshall County,0.855
Minnesota,55312,Martin County,0.961
Minnesota,55324,McLeod County,1.19
Minnesota,55371,Meeker County,0.92
Minnesota,56314,Mille Lacs County,1.057
Minnesota,55909,Morrison County,0.899
Minnesota,56114,Mower County,1.034
Minnesota,56003,Murray County,0.753
Minnesota,56110,Nicollet County,1.124
Minnesota,56510,Nobles County,0.987
Minnesota,55901,Norman County,1.012
Minnesota,56324,Olmsted County,1.089
Minnesota,56701,Otter Tail County,0.801
Minnesota,55030,Pennington County,1.246
Minnesota,56128,Pine County,0.907
Minnesota,56646,Pipestone County,0.877
Minnesota,56323,Polk County,0.961
Minnesota,55101,Pope County,0.81
Minnesota,56715,Ramsey County,1.237
Minnesota,56083,Red Lake County,0.938
Minnesota,55310,Redwood County,0.974
Minnesota,55019,Renville County,1.014
Minnesota,56116,Rice County,0.99
Minnesota,56673,Rock County,0.703
Minnesota,55020,Roseau County,0.999
Minnesota,55308,Scott County,1.074
Minnesota,55307,Sherburne County,1.033
Minnesota,55602,Sibley County,1.117
Minnesota,55329,Saint Louis County,1.028
Minnesota,55049,Meeker County,0.92
Minnesota,56207,Steele County,1.237
Minnesota,56208,Stevens County,0.874
Minnesota,56318,Swift County,0.883
Minnesota,56219,Todd County,1.006
Minnesota,55041,Traverse County,0.877
Minnesota,56434,Wabasha County,1.086
Minnesota,56048,Wadena County,1.046
Minnesota,55001,Waseca County,1.225
Minnesota,56022,Washington County,1.005
Minnesota,56520,Watonwan County,1.131
Minnesota,55910,Wilkin County,0.763
Minnesota,55301,Winona County,0.948
Minnesota,56220,Wright County,1.012
Mississippi,39120,Yellow Medicine County,1.018
Mississippi,38834,Adams County,0.878
Mississippi,39638,Alcorn County,0.639
Mississippi,39067,Amite County,0.438
Mississippi,38603,Attala County,0.775
Mississippi,38725,Benton County,0.715
Mississippi,38878,Bolivar County,0.819
Mississippi,38917,Calhoun County,0.717
Mississippi,38850,Carroll County,0.614
Mississippi,39735,Chickasaw County,0.863
Mississippi,39086,Choctaw County,0.485
Mississippi,39330,Claiborne County,0.608
Mississippi,39741,Clarke County,0.559
Mississippi,38614,Clay County,0.67
Mississippi,39059,Coahoma County,1.243
Mississippi,39119,Copiah County,0.768
Mississippi,38632,Covington County,0.757
Mississippi,39401,DeSoto County,0.672
Mississippi,39630,Forrest County,0.913
Mississippi,39452,Franklin County,0.572
Mississippi,39362,George County,0.665
Mississippi,38901,Greene County,0.904
Mississippi,39520,Grenada County,0.928
Mississippi,39501,Hancock County,0.796
Mississippi,39041,Harrison County,0.682
Mississippi,38924,Hinds County,0.953
Mississippi,38754,Holmes County,0.973
Mississippi,38745,Humphreys County,1.13
Mississippi,38843,Issaquena County,0.447
Mississippi,39553,Itawamba County,0.635
Mississippi,39338,Jackson County,0.79
Mississippi,39069,Jasper County,0.624
Mississippi,39421,Jefferson County,1.109
Mississippi,39436,Jefferson Davis County,0.836
Mississippi,39328,Jones County,0.896
Mississippi,38601,Kemper County,0.56
Mississippi,39402,Lafayette County,0.645
Mississippi,39301,Forrest County,0.913
Mississippi,39140,Lauderdale County,0.911
Mississippi,39051,Lawrence County,0.727
Mississippi,38801,Leake County,0.686
Mississippi,38736,Lee County,0.767
Mississippi,39601,Sunflower County,0.897
Mississippi,39701,Lincoln County,0.687
Mississippi,39045,Lowndes County,0.61
Mississippi,39429,Madison County,0.71
Mississippi,38611,Marion County,0.745
Mississippi,38821,Marshall County,0.761
Mississippi,38925,Monroe County,0.772
Mississippi,39350,Montgomery County,0.841
Mississippi,39057,Neshoba County,0.798
Mississippi,39341,Newton County,0.821
Mississippi,39759,Noxubee County,1.086
Mississippi,38606,Oktibbeha County,0.735
Mississippi,39426,Panola County,0.758
Mississippi,39423,Pearl River County,0.688
Mississippi,39632,Perry County,0.69
Mississippi,38841,Pike County,0.873
Mississippi,38824,Pontotoc County,0.647
Mississippi,38609,Lee County,0.767
Mississippi,39042,Quitman County,1.185
Mississippi,39074,Rankin County,0.653
Mississippi,38721,Scott County,0.84
Mississippi,39044,Sharkey County,1.173
Mississippi,39116,Simpson County,0.64
Mississippi,39561,Smith County,0.519
Mississippi,38737,Stone County,0.585
Mississippi,38920,Sunflower County,0.897
Mississippi,38618,Tallahatchie County,0.634
Mississippi,38610,Tate County,0.797
Mississippi,38827,Tippah County,0.775
Mississippi,38626,Tishomingo County,0.565
Mississippi,38627,Tunica County,0.346
Mississippi,39478,Union County,0.6
Mississippi,39156,Marion County,0.745
Mississippi,38701,Warren County,0.799
Mississippi,39322,Washington County,0.913
Mississippi,39744,Wayne County,0.772
Mississippi,39631,Webster County,0.604
Mississippi,39339,Wilkinson County,0.76
Mississippi,38922,Winston County,0.708
Mississippi,39039,Yalobusha County,0.85
Missouri,63501,Yazoo County,0.968
Missouri,64421,Adair County,0.788
Missouri,51630,Andrew County,0.815
Missouri,63345,Page County,1.463
Missouri,64874,Audrain County,0.944
Missouri,64748,Barry County,0.614
Missouri,64720,Barton County,0.793
Missouri,65325,Bates County,0.617
Missouri,63662,Benton County,0.581
Missouri,65010,Bollinger County,0.645
Missouri,64401,Boone County,0.918
Missouri,63901,Buchanan County,0.812
Missouri,64624,Butler County,0.664
Missouri,63388,Caldwell County,0.764
Missouri,65020,Callaway County,0.805
Missouri,63701,Camden County,0.531
Missouri,64622,Cape Girardeau County,0.694
Missouri,63937,Carroll County,0.882
Missouri,64012,Carter County,0.433
Missouri,64744,Cass County,0.913
Missouri,635HH,Cedar County,0.571
Missouri,65610,Cedar County,0.571
Missouri,52626,Christian County,0.752
Missouri,64024,Van Buren County,1.3
Missouri,64429,Clay County,1.152
Missouri,65023,Clinton County,0.92
Missouri,65068,Cole County,0.864
Missouri,65441,Cooper County,0.698
Missouri,65603,Crawford County,0.638
Missouri,65590,Dade County,0.689
Missouri,64620,Dallas County,0.53
Missouri,64422,Daviess County,0.814
Missouri,65440,DeKalb County,0.811
Missouri,65608,Dent County,0.63
Missouri,63821,Douglas County,0.44
Missouri,63013,Dunklin County,0.724
Missouri,63091,Franklin County,0.841
Missouri,64402,Gasconade County,0.757
Missouri,65604,Gentry County,1.063
Missouri,64641,Greene County,0.773
Missouri,64424,Grundy County,1.018
Missouri,64726,Harrison County,0.86
Missouri,65634,Henry County,0.797
Missouri,64437,Hickory County,0.526
Missouri,65230,Holt County,0.843
Missouri,65548,Howard County,0.812
Missouri,63620,Howell County,0.583
Missouri,64014,Iron County,0.659
Missouri,64755,Jackson County,1.186
Missouri,63010,Jasper County,0.75
Missouri,64019,Jefferson County,0.864
Missouri,63446,Johnson County,0.713
Missouri,65463,Knox County,0.884
Missouri,64001,Laclede County,0.633
Missouri,64848,Lafayette County,0.783
Missouri,63435,Lawrence County,0.652
Missouri,63343,Lewis County,0.787
Missouri,63557,Lincoln County,0.804
Missouri,64601,Linn County,0.863
Missouri,63431,Livingston County,0.889
Missouri,63645,Macon County,0.83
Missouri,65013,Madison County,0.826
Missouri,63401,Maries County,0.508
Missouri,64831,Marion County,0.867
Missouri,64661,McDonald County,0.582
Missouri,65017,Mercer County,0.889
Missouri,63820,Miller County,0.652
Missouri,65018,Mississippi County,0.874
Missouri,63456,Moniteau County,0.738
Missouri,63333,Monroe County,0.723
Missouri,65011,Montgomery County,0.779
Missouri,63828,Morgan County,0.639
Missouri,64840,New Madrid County,0.732
Missouri,64423,Newton County,0.72
Missouri,65606,Nodaway County,0.849
Missouri,65001,Oregon County,0.531
Missouri,65609,Osage County,0.634
Missouri,63826,Ozark County,0.493
Missouri,63732,Pemiscot County,0.992
Missouri,65301,Cape Girardeau County,0.694
Missouri,65401,Pettis County,0.809
Missouri,63330,Phelps County,0.684
Missouri,64018,Pike County,0.817
Missouri,65601,Platte County,1.082
Missouri,65452,Polk County,0.612
Missouri,63551,Pulaski County,0.605
Missouri,63436,Putnam County,1.167
Missouri,65239,Ralls County,0.789
Missouri,64017,Randolph County,0.894
Missouri,63625,Ray County,0.894
Missouri,63935,Reynolds County,0.48
Missouri,65320,Ripley County,0.525
Missouri,63535,Saline County,0.85
Missouri,63432,Schuyler County,0.895
Missouri,63736,Scotland County,0.847
Missouri,65438,Scott County,0.672
Missouri,63434,Shannon County,0.462
Missouri,63301,Shelby County,0.915
Missouri,64724,Saint Charles County,1.148
Missouri,63036,Saint Clair County,0.689
Missouri,63005,Saint Francois County,0.79
Missouri,63101,Saint Louis County,1.243
Missouri,63627,Saint Louis City County,1.083
Missouri,63730,Sainte Genevieve County,0.675
Missouri,65611,Stoddard County,0.67
Missouri,63544,Stone County,0.486
Missouri,65614,Sullivan County,0.796
Missouri,65444,Taney County,0.633
Missouri,64728,Texas County,0.544
Missouri,63357,Vernon County,0.733
Missouri,63030,Warren County,0.775
Missouri,63763,Jefferson County,0.864
Missouri,65652,Wayne County,0.544
Missouri,64441,Webster County,0.569
Missouri,65660,Worth County,0.804
Montana,59725,Wright County,0.407
Montana,59016,Beaverhead County,0.644
Montana,59523,Big Horn County,0.943
Montana,59643,Blaine County,1.568
Montana,59007,Broadwater County,0.621
Montana,59311,Carbon County,0.579
Montana,59401,Carter County,0.627
Montana,59420,Cascade County,0.946
Montana,59301,Chouteau County,0.788
Montana,59222,Custer County,1.058
Montana,59259,Daniels County,0.885
Montana,59711,Dawson County,1.101
Montana,59313,Deer Lodge County,0.89
Montana,59032,Fallon County,0.593
Montana,59901,Fergus County,0.869
Montana,59714,Flathead County,0.658
Montana,59058,Gallatin County,0.65
Montana,59411,Garfield County,0.814
Montana,59046,Glacier County,0.892
Montana,59832,Golden Valley County,0.669
Montana,59501,Granite County,0.674
Montana,59631,Hill County,1.101
Montana,59447,Jefferson County,0.596
Montana,59821,Judith Basin County,0.473
Montana,59410,Lake County,0.709
Montana,59444,Lewis and Clark County,0.846
Montana,59917,Toole County,0.988
Montana,59710,Lincoln County,0.598
Montana,59214,Madison County,0.451
Montana,59053,McCone County,0.767
Montana,59842,Meagher County,0.693
Montana,59801,Mineral County,0.577
Montana,59054,Missoula County,0.935
Montana,59018,Musselshell County,0.684
Montana,59087,Park County,0.59
Montana,59261,Petroleum County,0.851
Montana,59416,Phillips County,0.811
Montana,59062,Pondera County,0.977
Montana,59713,Powder River County,0.738
Montana,59326,Powell County,0.759
Montana,59827,Prairie County,1.011
Montana,59217,Ravalli County,0.562
Montana,59201,Richland County,0.742
Montana,59003,Roosevelt County,1.318
Montana,59831,Rosebud County,0.678
Montana,59211,Sanders County,0.579
Montana,59701,Sheridan County,1.198
Montana,59001,Silver Bow County,1.1
Montana,59011,Stillwater County,0.638
Montana,59419,Sweet Grass County,0.543
Montana,59454,Teton County,0.835
Montana,59010,Toole County,0.988
Montana,59223,Treasure County,0.599
Montana,59036,Valley County,1.045
Montana,59353,Wheatland County,0.65
Montana,59002,Wibaux County,0.688
Nebraska,68901,Yellowstone County,0.883
Nebraska,68636,Adams County,1.524
Nebraska,69121,Antelope County,1.225
Nebraska,69345,Arthur County,1.072
Nebraska,68821,Banner County,1.07
Nebraska,68620,Blaine County,1.371
Nebraska,69301,Boone County,0.996
Nebraska,68719,Box Butte County,1.519
Nebraska,69210,Boyd County,1.222
Nebraska,68812,Brown County,1.089
Nebraska,68019,Buffalo County,1.509
Nebraska,68624,Burt County,1.437
Nebraska,68304,Butler County,1.204
Nebraska,68717,Cass County,1.482
Nebraska,69023,Cedar County,1.001
Nebraska,69135,Chase County,1.123
Nebraska,69131,Cherry County,1.143
Nebraska,68452,Cheyenne County,1.779
Nebraska,68629,Clay County,1.348
Nebraska,68716,Colfax County,1.428
Nebraska,68813,Cuming County,1.078
Nebraska,68731,Custer County,1.22
Nebraska,69337,Dakota County,1.614
Nebraska,68834,Dawes County,1.398
Nebraska,69122,Dawson County,1.367
Nebraska,68710,Deuel County,1.473
Nebraska,68621,Dixon County,1.347
Nebraska,68104,Dodge County,1.468
Nebraska,69021,Douglas County,1.755
Nebraska,68351,Dundy County,0.8
Nebraska,68929,Fillmore County,1.228
Nebraska,69025,Franklin County,1.304
Nebraska,68922,Frontier County,1.464
Nebraska,68301,Furnas County,1.46
Nebraska,69147,Gage County,1.434
Nebraska,68823,Garden County,1.233
Nebraska,68937,Garfield County,1.283
Nebraska,69333,Gosper County,1.208
Nebraska,68665,Grant County,0.852
Nebraska,68801,Greeley County,1.578
Nebraska,68818,Hall County,1.426
Nebraska,68920,Hamilton County,1.016
Nebraska,69031,Harlan County,1.241
Nebraska,69024,Harlan County,1.241
Nebraska,68711,Hitchcock County,1.178
Nebraska,69152,Holt County,1.142
Nebraska,68820,Hooker County,1.31
Nebraska,68338,Howard County,1.222
Nebraska,68329,Jefferson County,1.425
Nebraska,68924,Johnson County,1.577
Nebraska,69127,Kearney County,1.254
Nebraska,68753,Keith County,1.4
Nebraska,69128,Keya Paha County,0.906
Nebraska,68718,Kimball County,1.909
Nebraska,68317,Knox County,1.232
Nebraska,69101,Lancaster County,1.604
Nebraska,69163,Lincoln County,1.585
Nebraska,68879,Logan County,1.159
Nebraska,68701,Loup County,0.809
Nebraska,69167,Madison County,1.362
Nebraska,68628,McPherson County,1.088
Nebraska,69125,Merrick County,1.272
Nebraska,68623,Morrill County,1.367
Nebraska,68305,Boone County,0.996
Nebraska,68943,Nemaha County,1.391
Nebraska,68324,Nuckolls County,1.142
Nebraska,68323,Otoe County,1.449
Nebraska,69134,Pawnee County,1.424
Nebraska,68923,Perkins County,0.944
Nebraska,68737,Phelps County,1.334
Nebraska,68601,Phelps County,1.334
Nebraska,68651,Platte County,1.381
Nebraska,69001,Polk County,1.083
Nebraska,68337,Red Willow County,1.277
Nebraska,68714,Richardson County,1.323
Nebraska,68333,Rock County,1.145
Nebraska,68113,Saline County,1.428
Nebraska,68648,Sarpy County,1.845
Nebraska,69341,Saunders County,1.432
Nebraska,68313,Scotts Bluff County,1.503
Nebraska,69335,Seward County,1.279
Nebraska,68817,Sheridan County,1.427
Nebraska,69346,Sherman County,1.306
Nebraska,68768,Sioux County,1.1
Nebraska,68303,Stanton County,1.38
Nebraska,69142,Thayer County,1.232
Nebraska,68039,Thomas County,0.938
Nebraska,68815,Thurston County,1.564
Nebraska,68002,Valley County,1.526
Nebraska,68723,Washington County,1.472
Nebraska,68928,Wayne County,1.32
Nebraska,68622,Webster County,1.432
Nebraska,68316,Wheeler County,1.135
Nevada,89701,York County,1.217
Nevada,89406,Carson City County,0.46
Nevada,89004,Churchill County,0.619
Nevada,89410,Clark County,0.515
Nevada,89801,Douglas County,0.483
Nevada,89010,Elko County,0.531
Nevada,89316,Esmeralda County,0.622
Nevada,89404,Eureka County,0.294
Nevada,89310,Humboldt County,0.541
Nevada,89001,Lander County,0.675
Nevada,89403,Lincoln County,0.629
Nevada,89415,Lyon County,0.475
Nevada,89003,Mineral County,0.683
Nevada,89418,Nye County,0.508
Nevada,89440,Pershing County,0.709
Nevada,89405,Storey County,0.485
Nevada,89301,Washoe County,0.477
New hampshire,03218,White Pine County,0.464
New hampshire,03227,Belknap County,1.591
New hampshire,03431,Carroll County,1.163
New hampshire,03570,Cheshire County,2.436
New hampshire,03215,Coos County,2.12
New hampshire,03031,Grafton County,1.958
New hampshire,03106,Hillsborough County,1.876
New hampshire,03032,Merrimack County,2.16
New hampshire,03815,Rockingham County,1.713
New hampshire,03280,Strafford County,2.161
New jersey,08037,Sullivan County,2.627
New jersey,070HH,Atlantic County,2.63
New jersey,08010,Atlantic County,2.63
New jersey,08002,Burlington County,2.561
New jersey,08202,Camden County,3.272
New jersey,08302,Cape May County,1.362
New jersey,07102,Cumberland County,2.585
New jersey,08014,Essex County,0.0
New jersey,07093,Gloucester County,2.949
New jersey,07830,Hudson County,1.913
New jersey,08512,Hunterdon County,0.0
New jersey,07095,Middlesex County,2.289
New jersey,07701,Middlesex County,2.289
New jersey,07405,Monmouth County,1.893
New jersey,08005,Morris County,0.0
New jersey,07403,Ocean County,1.873
New jersey,08001,Passaic County,0.0
New jersey,07920,Salem County,3.188
New jersey,07416,Somerset County,0.0
New jersey,07088,Sussex County,2.596
New jersey,07823,Union County,0.0
New mexico,87008,Warren County,2.659
New mexico,87820,Bernalillo County,0.994
New mexico,88201,Catron County,0.416
New mexico,87005,Chaves County,0.604
New mexico,87710,Cibola County,0.754
New mexico,88101,Colfax County,0.573
New mexico,88119,Curry County,0.57
New mexico,79922,De Baca County,0.434
New mexico,88210,El Paso County,2.137
New mexico,88022,Eddy County,0.485
New mexico,87711,Grant County,0.492
New mexico,87730,Guadalupe County,0.503
New mexico,85534,Harding County,0.304
